ticker,"Frequency: A - annual; Q - quarterly; M - monthly; QM - quarterly and monthly; AQM - annual, quarterly, and monthly",Fund Identifier,Date,Latest Month-end NAV,Latest Month-end NAV Date,Latest Month-end TNA,Latest Month-end TNA Date,Income Yield,Calendar Year-to-Date Dividend Sum,Calendar Year-to-Date Capital Gains Sum,52 Week High NAV,Date of 52 Week High NAV,52 Week Low NAV,Date of 52 Week Low NAV,Unrealized Appreciation/Depreciation,Unrealized Appreciation/Depreciation Date,Date for Which Asset Composition Applies,Amount of fund invested in Common Stocks,Amount of fund invested in Preferred Stocks,Amount of fund invested in Convertible Bonds,Amount of fund invested in Corporate Bonds
APITX,Q,105,20190329,11.75,20190329,24.3,20190329,,,,15.55,20180829,9.83,20181224,,,20190131,75.87,0,0,0
APITX,AQ,105,20171229,14.96,20171229,29.6,20171229,,,1.157885,15.98,20171130,12.86,20170103,,,20171031,68.88,0,0,0
APITX,Q,105,20190930,12.47,20190930,24.3,20190930,,,,15.14,20181002,9.83,20181224,,,20190731,77.84,0,0,0
APITX,Q,105,20180329,14.88,20180329,28.9,20180329,,,,15.98,20171130,13.59,20170413,,,20180131,71.64,0,0,0
APITX,Q,105,20180629,14.84,20180629,27,20180629,,,,15.98,20171130,14.33,20170706,,,20180430,72.59,0,0,0
APITX,AQ,105,20191231,12.28,20191231,26.6,20191231,,,1.154015,13.22,20191127,10.07,20190103,,,20191031,79.88,0,0,0
APITX,Q,105,20190628,12.44,20190628,25,20190628,,,,15.55,20180829,9.83,20181224,,,20190430,75.56,0,0,0
APITX,AQ,105,20181231,10.32,20181231,21.2,20181231,,,2.626225,15.81,20180126,9.83,20181224,,,20181231,75.34,0,0,0
APITX,Q,105,20180928,15.26,20180928,27.3,20180928,,,,15.98,20171130,14.36,20180208,,,20180731,79.27,0,0,0
APITX,Q,105,20100630,7.03,20100630,24.3,20100630,,,,8.24,20100426,5.63,20090708,3.2,20100630,20100430,78.48,0.06,0,0
APITX,Q,105,20100331,7.85,20100331,27.8,20100331,,,,7.9,20100323,4.99,20090407,3.2,20091231,20100131,77.44,0.06,0,0
APITX,Q,105,20100930,8.07,20100930,26.7,20100930,,,,8.24,20100426,6.81,20091030,3.2,20100630,20100731,77.52,0.05,0,0
APITX,Q,105,20170929,15.26,20170929,29,20170929,,,,15.26,20170929,12.48,20161104,,,20170731,72.34,0,0,0
APITX,Q,105,20170630,14.44,20170630,28,20170630,,,,14.62,20170602,12.27,20160705,,,20170430,80.83,0,0,0.03
APITX,Q,105,20130930,12.12,20130930,30.3,20130930,,,,12.23,20130919,9.07,20121115,,,20130731,85.95,0.09,0,0
APITX,Q,105,20140630,13.23,20140630,36.9,20140630,,,,13.33,20140306,11.1,20130702,,,20140430,82.43,0.1,0,0
APITX,AQ,105,20131231,13.13,20131231,34.9,20131231,,,,13.13,20131231,10.02,20130108,,,20131231,86.62,0.45,0,0
APITX,Q,105,20160331,12.31,20160331,29.5,20160331,,,,14.1,20150623,10.79,20160211,,,20160131,77.01,0.17,0,0.02
APITX,Q,105,20150930,12.19,20150930,31.8,20150930,,,,14.1,20150623,11.85,20141013,,,20150731,85.26,0.05,0,0
APITX,Q,105,20150331,13.6,20150331,37.3,20150331,,,,13.72,20150323,11.85,20141013,,,20150131,85.59,0.08,0,0
APITX,AQ,105,20141231,13.03,20141231,35.9,20141231,,,,13.41,20140703,11.85,20141013,,,20141031,86.32,0.1,0,0
APITX,Q,105,20150630,13.68,20150630,37.6,20150630,,,,14.1,20150623,11.85,20141013,,,20150430,84.38,0.08,0,0
APITX,Q,105,20140930,12.59,20140930,35.3,20140930,,,,13.41,20140703,11.88,20131009,,,20140731,83.97,0.11,0,0
APITX,Q,105,20140331,12.97,20140331,36,20140331,,,,13.33,20140306,10.49,20130418,,,20131231,86.62,0.45,0,0
APITX,AQ,105,20151231,12.26,20151231,30.1,20151231,,,0.387986,14.1,20150623,11.97,20150929,,,20151031,85.95,0.17,0,0
APITX,Q,105,20110630,9.49,20110630,27.9,20110630,,,,9.77,20110429,6.98,20100706,,,20110430,79.69,0.05,0,0
APITX,Q,105,20110930,7.63,20110930,20,20110930,,,,9.77,20110429,7.63,20110930,,,20110731,79.27,0.05,0,0
APITX,AQ,105,20101231,9.06,20101231,28.3,20101231,,,,9.07,20101230,6.89,20100208,,,20101031,77.47,0.08,0,0
APITX,Q,105,20110331,9.44,20110331,28.6,20110331,,,,9.49,20110217,6.98,20100706,,,20110131,77.99,0.05,0,0
APITX,AQ,105,20121231,9.85,20121231,-99,20121231,,,,9.89,20121220,8.55,20120604,,,20121031,82.58,0.13,0,0
APITX,Q,105,20120629,8.99,20120629,22,20120629,,,,9.73,20110707,7.33,20111003,,,20120430,80.64,0.07,0,0
APITX,Q,105,20120928,9.4,20120928,22.4,20120928,,,,9.69,20120402,7.33,20111003,,,20120731,71.38,0.14,0,0
APITX,Q,105,20130328,10.84,20130328,26.3,20130328,,,,10.84,20130328,8.55,20120604,,,20130131,82.87,0.13,0,0
APITX,Q,105,20160630,12.36,20160630,28.2,20160630,,,,13.83,20150717,10.79,20160211,,,20160430,82.85,0.25,0,0.02
APITX,Q,105,20160930,13.08,20160930,28.1,20160930,,,,13.3,20160907,10.79,20160211,,,20160731,81.61,0.29,0,0.04
APITX,AQ,105,20161230,12.79,20161230,26.5,20161230,,,0.138945,13.3,20160907,10.79,20160211,,,20161031,79.76,0.3,0,0.21
APITX,Q,105,20170331,13.74,20170331,27.6,20170331,,,,13.78,20170317,11.69,20160627,,,20170131,80.77,0.7,0,0.13
APITX,Q,105,20130628,11,20130628,26.7,20130628,,,,11.41,20130521,8.68,20120724,,,20130430,82.73,0.12,0,0
APITX,AQ,105,20111230,8.49,20111230,21.6,20111230,,,,9.77,20110429,7.33,20111003,,,20111031,77.85,0,0,0
APITX,Q,105,20120330,9.58,20120330,24.2,20120330,,,,9.77,20110429,7.33,20111003,,,20120131,79.21,0.08,0,0
AACNX,Q,2700,20100630,10.21,20100630,28.8,20100630,0.007385896,0.07541,,10.56,20100429,9.42,20090707,-0.149936,20100331,20100430,0,0,0,0
AACNX,Q,2700,20100331,10.42,20100331,26.8,20100331,0.007117083,0.07416,,10.54,20100323,9.04,20090407,-0.149936,20100331,20100131,0,0,0,0
AACNX,Q,2700,20100930,9.61,20100929,-99,20100930,0.035377732,0.33998,0.6861,10.65,20100916,9.61,20100929,-0.149936,20100331,20100731,0,0,0,0
AAMDX,Q,2701,20100331,10.34,20100331,52.4,20100331,,,,10.38,20100323,8.22,20090407,-9.421447,20100331,20100131,0,0,0,0
AAMDX,Q,2701,20100930,10.09,20100929,-99,20100930,0.023088206,0.23296,,10.57,20100423,9.66,20100702,-9.421447,20100331,20100731,0,0,0,0
AAMDX,Q,2701,20100630,9.69,20100630,50.6,20100630,0.012910217,0.1251,,10.57,20100423,8.69,20090707,-9.421447,20100331,20100430,0,0,0,0
AAGSX,Q,2702,20100630,9.07,20100630,29.8,20100630,0.010962514,0.09943,,10.37,20100423,7.9,20090710,-19.813957,20100331,20100430,0,0,0,0
AAGSX,Q,2702,20100331,10.05,20100331,32.4,20100331,,,,10.08,20100323,7.32,20090407,-19.813957,20100331,20100131,0,0,0,0
AAGSX,Q,2702,20100930,9.73,20100929,-99,20100930,0.012937307,0.12588,0.0109,10.37,20100423,9.03,20100702,-19.813957,20100331,20100731,0,0,0,0
AANCX,Q,2703,20100630,10.58,20100630,19.3,20100630,0.002845936,0.03011,,10.59,20100628,10.12,20090715,1.186259,20100331,20100430,0,0.02,0,2.45
